context,question,answer,valid?
PROSES PEMBELAJARAN,Berapa persentase kehadiran minimum yang wajib diikuti oleh mahasiswa dalam aktivitas akademik terjadwal?,Mahasiswa wajib mengikuti pelajaran secara aktif paling sedikit 90 (sembilan puluh) persen dari aktivitas akademik terjadwal.,
PROSES PEMBELAJARAN,Dalam kondisi apa ketidakhadiran mahasiswa dalam perkuliahan tidak dihitung sebagai alpha?,"Ketidakhadiran mahasiswa tidak dihitung sebagai alpha jika disebabkan oleh keikutsertaan dalam kegiatan yang ditugaskan dan/atau disetujui oleh Rektor atau Pimpinan Fakultas, atau karena alasan sakit dengan menunjukkan surat dokter.",
PROSES PEMBELAJARAN,Apa syarat yang harus dipenuhi oleh mahasiswa yang tidak hadir dalam perkuliahan selain karena mengikuti kegiatan yang ditugaskan/disetujui atau alasan sakit?,"Mahasiswa yang tidak hadir selain karena mengikuti kegiatan yang ditugaskan/disetujui atau alasan sakit, wajib menyertakan surat keterangan resmi.",
PENILAIAN DAN EVALUASI HASIL BELAJAR,Apakah tujuan utama dari penilaian hasil belajar mahasiswa?,Penilaian hasil belajar mahasiswa bertujuan untuk mengukur pencapaian kompetensi pembelajaran yang ditetapkan oleh program studi.,
PENILAIAN DAN EVALUASI HASIL BELAJAR,"Aspek apa saja yang harus dicakup dalam penilaian hasil belajar mahasiswa, dan dalam bentuk apa saja penilaian tersebut dapat dilaksanakan secara umum?","Penilaian hasil belajar mahasiswa harus mencakup aspek hardskill dan softskill. Pelaksanaannya dapat dilakukan dalam bentuk ujian tertulis, ujian lisan dan/ atau ujian praktikum/ keterampilan, serta portofolio. Tugas akhir juga bisa dalam bentuk skripsi, atau bentuk lain yang setara.",
PENILAIAN DAN EVALUASI HASIL BELAJAR,Dalam kondisi seperti apa penilaian hasil belajar dapat dilakukan dengan bentuk-bentuk lain selain yang disebutkan secara umum?,Penilaian hasil belajar dapat dilakukan dengan bentuk-bentuk lain berdasarkan tertentu yang dapat dipertanggungjawabkan.,
PENILAIAN DAN EVALUASI HASIL BELAJAR,Apa yang menjadi dasar utama nilai akhir hasil belajar dan berapa bobot minimal evaluasinya?,Nilai akhir hasil belajar berbasis pada evaluasi aktivitas partisipatif dan hasil proyek atau studi kasus dengan bobot evaluasi lebih dari 50%.,
PENILAIAN DAN EVALUASI HASIL BELAJAR,Sebutkan komponen penilaian lain yang turut menjadi dasar penentuan nilai akhir hasil belajar.,"Komponen penilaian lainnya adalah Evaluasi Tengah Semester (ETS), Evaluasi Akhir Semester (EAS), tugas, kuis, praktikum, dan keterampilan berperilaku.",
PENILAIAN DAN EVALUASI HASIL BELAJAR,Siapa yang berwenang menetapkan formulasi rumus nilai akhir hasil belajar?,Formulasi nilai akhir hasil belajar dituangkan dalam rumus yang ditetapkan oleh masing-masing Program Studi.,
PENILAIAN DAN EVALUASI HASIL BELAJAR,Bagaimana sistem penilaian hasil belajar dinyatakan?,"Sistem penilaian hasil belajar dinyatakan dengan huruf, yaitu menggunakan huruf A, B, C, D, dan E.",
PENILAIAN DAN EVALUASI HASIL BELAJAR,Berapakah nilai minimal yang harus dicapai mahasiswa untuk dinyatakan lulus mata kuliah dan tugas akhir/skripsi/prototype?,"Mahasiswa dinyatakan lulus mata kuliah apabila mendapat nilai minimal C, dan nilai lulus minimal tugas akhir/skripsi/prototype adalah C.",
PENILAIAN DAN EVALUASI HASIL BELAJAR,"Apa konsekuensi bagi mahasiswa yang memperoleh nilai D dan E, serta bagaimana ketentuan nilai yang diakui untuk mata kuliah yang diulang?","Mahasiswa yang mendapat nilai D dan E wajib mengulang Program pembelajaran dan ujian pada semester reguler, dan nilai yang diakui pada mata kuliah yang diambil ulang adalah nilai yang terbaik.",
PENILAIAN DAN EVALUASI HASIL BELAJAR,Bagaimana status kelulusan seorang mahasiswa apabila nilai mata kuliahnya masih berstatus K hingga periode pengisian Kartu Rencana Studi (KRS) semester berikutnya?,"Apabila sampai dengan pengisian KRS semester berikutnya nilai mahasiswa masih berstatus K, mahasiswa tersebut dianggap tidak lulus (E).",
PENILAIAN DAN EVALUASI HASIL BELAJAR,Bagaimana ketentuan perhitungan Indeks Prestasi Semester (IPS) bagi mahasiswa?,"Dalam perhitungan IPS, bobot sks setiap mata kuliah hanya dipergunakan satu kali sebagai pembagi, dan nilai yang dipergunakan adalah nilai keberhasilan yang tertinggi.",
PENILAIAN DAN EVALUASI HASIL BELAJAR,Bagaimana rumus perhitungan Indeks Prestasi Semester (IPS) dan Indeks Prestasi Kumulatif (IPK) dijelaskan beserta komponennya?,"Perhitungan IPS menggunakan rumus IPS = Σ(KN) / ΣK, dengan K adalah besarnya sks masing-masing mata kuliah dan N adalah nilai masing-masing mata kuliah. Perhitungan IPK menggunakan rumus yang sama, dengan K adalah jumlah seluruh sks mata kuliah yang telah ditempuh dengan nilai tertinggi dan N adalah nilai seluruh mata kuliah yang diperoleh.",
PENILAIAN DAN EVALUASI HASIL BELAJAR,Kapan penilaian hasil belajar mahasiswa secara umum dan penilaian pada setiap mata kuliah dilaksanakan?,"Penilaian hasil belajar mahasiswa dilakukan secara berkala sesuai dengan kurikulum, sementara penilaian hasil belajar pada setiap mata kuliah dilakukan pada setiap semester.",
PENILAIAN DAN EVALUASI HASIL BELAJAR,Prinsip-prinsip apa saja yang menjadi dasar pelaksanaan penilaian hasil belajar?,"Penilaian dilaksanakan berdasarkan prinsip kesesuaian, akuntabilitas, transparansi, kejujuran, dan keadilan.",
PENILAIAN DAN EVALUASI HASIL BELAJAR,Aspek-aspek apa saja yang diukur dalam evaluasi hasil belajar mahasiswa?,"Aspek yang diukur dalam evaluasi hasil belajar adalah kemampuan akademik yang mencakup aspek kognitif, afektif, dan psikomotorik yang disesuaikan dengan jenis dan tujuan belajar pada setiap mata kuliah, serta keterampilan berperilaku yang mencakup kejujuran akademik, kedisiplinan, kesantunan, kemampuan berinteraksi, dan bekerja sama.",
PENILAIAN DAN EVALUASI HASIL BELAJAR,Apa saja syarat yang harus dipenuhi mahasiswa untuk dapat mengikuti evaluasi semester?,"Syarat evaluasi semester adalah terdaftar sebagai peserta kuliah/kegiatan pembelajaran yaitu tercantum dalam Daftar Peserta Mata Kuliah (DPMK) di sistem SIAMIK, serta telah mengikuti kuliah/kegiatan pembelajaran sekurang-kurangnya 90 (sembilan puluh) persen.",
PENILAIAN DAN EVALUASI HASIL BELAJAR,"Siapakah pihak yang mengatur ketentuan terkait pelaksanaan, persyaratan, penjadwalan, dan tata tertib ujian?","Ketentuan pelaksanaan, persyaratan, penjadwalan, dan tata tertib ujian diatur lebih lanjut oleh Fakultas.",
PENILAIAN DAN EVALUASI HASIL BELAJAR,Apa kebijakan yang dapat diambil Dekan jika dosen atau tim dosen terlambat dalam memberikan nilai hasil ujian semester?,"Dalam hal dosen atau tim dosen tidak segera memberikan nilai hasil ujian semester sampai batas waktu yang ditentukan, atau selambat-lambatnya 3 (tiga) hari dari batas waktu tersebut, Dekan dapat memberikan nilai B kepada semua mahasiswa yang memenuhi syarat sebagai peserta ujian.",
PENILAIAN DAN EVALUASI HASIL BELAJAR,"Kapan dan ke mana setiap mahasiswa wajib melaporkan hasil pembelajarannya, serta apa konsekuensi jika kewajiban tersebut tidak dipenuhi?",Setiap mahasiswa wajib melaporkan hasil pembelajarannya (KHS) ke Pangkalan Data Pendidikan Tinggi (PDDIKTI) di sistem SIAMIK pada setiap akhir semester. Mahasiswa yang tidak melaporkan hasil pembelajarannya tidak bisa melakukan perencanaan studinya (KRS) pada semester berikutnya.,
PENILAIAN DAN EVALUASI HASIL BELAJAR,Apa konsekuensi bagi mahasiswa yang tidak melaporkan hasil pembelajarannya?,Mahasiswa yang tidak melaporkan hasil pembelajarannya tidak dapat melakukan perencanaan studinya (KRS) pada semester berikutnya.,
PENILAIAN DAN EVALUASI HASIL BELAJAR,Apa yang dimaksud dengan Evaluasi Hasil Belajar dan apa tujuan utamanya?,Evaluasi Hasil Belajar adalah kriteria penilaian yang dilakukan secara bertahap terhadap pencapaian IPK untuk menentukan kemampuan mahasiswa dalam melanjutkan studi.,
PENILAIAN DAN EVALUASI HASIL BELAJAR,Dengan cara apa saja evaluasi hasil belajar mahasiswa dapat dilakukan?,"Evaluasi hasil belajar dapat dilakukan dengan cara observasi, pemberian tugas, ujian tertulis, dan/atau ujian lisan.",
PENILAIAN DAN EVALUASI HASIL BELAJAR,Berapa tahapan evaluasi hasil belajar mahasiswa program sarjana dari SMA atau sederajat dan kapan masing-masing tahapan tersebut dilaksanakan?,"Evaluasi hasil belajar mahasiswa program sarjana dari SMA atau sederajat dilakukan dalam tiga tahapan, yaitu Tahap I pada akhir semester 4, Tahap II pada akhir semester 7, dan Tahap III pada akhir program.",
PENILAIAN DAN EVALUASI HASIL BELAJAR,Apa saja ketentuan yang harus dipenuhi mahasiswa program sarjana pada Tahap I evaluasi hasil belajar?,"Ketentuan pada Tahap I evaluasi hasil belajar yang dilakukan pada akhir semester 4 adalah mampu mengumpulkan paling sedikit 35 SKS dengan IPK ≥ 2,50. Jika mampu mengumpulkan lebih dari 35 SKS tetapi IPK kurang dari 2,50, maka akan diambil nilai tertinggi sampai sejumlah 35 SKS dengan IPK 2,50.",
PENILAIAN DAN EVALUASI HASIL BELAJAR,Bagaimana ketentuan pelaksanaan Tahap II evaluasi hasil belajar bagi mahasiswa program sarjana?,"Tahap II evaluasi hasil belajar dilaksanakan pada akhir semester 7 dengan ketentuan mampu mengumpulkan paling sedikit 85 SKS dengan IPK ≥ 2,75. Apabila mahasiswa mampu mengumpulkan lebih dari 85 SKS tetapi IPK kurang dari 2,75, maka akan diambil nilai tertinggi sampai sejumlah 85 SKS dengan IPK ≥ 2,75.",
PENILAIAN DAN EVALUASI HASIL BELAJAR,Kapan batas waktu paling lambat bagi mahasiswa program sarjana untuk menyelesaikan beban SKS dan memenuhi indeks prestasi kumulatif (IPK) yang ditetapkan?,"Batas waktu paling lambat adalah pada akhir semester 14 (empat belas), di mana mahasiswa harus sudah mengumpulkan dan lulus semua beban sks yang ditetapkan untuk program sarjana serta memiliki IPK ≥ 2,00 (dua koma nol nol).",
PENILAIAN DAN EVALUASI HASIL BELAJAR,Apa saja persyaratan akademik yang harus dipenuhi mahasiswa program sarjana terkait dengan beban sks dan indeks prestasi kumulatif (IPK)?,"Mahasiswa harus sudah mengumpulkan dan lulus semua beban sks yang ditetapkan untuk program sarjana dan mencapai IPK minimal 2,00 (dua koma nol nol).",
PENILAIAN DAN EVALUASI HASIL BELAJAR,Bagaimana status mahasiswa yang tidak dapat memenuhi ketentuan evaluasi?,Mahasiswa yang tidak dapat memenuhi ketentuan evaluasi dianggap tidak mampu mengikuti kegiatan akademik.,
PENILAIAN DAN EVALUASI HASIL BELAJAR,Apa tindakan yang disarankan kepada mahasiswa yang dianggap tidak mampu mengikuti kegiatan akademik?,Mahasiswa yang dianggap tidak mampu mengikuti kegiatan akademik disarankan untuk mengajukan surat permohonan undur diri kepada Rektor melalui Dekan.,
PENILAIAN DAN EVALUASI HASIL BELAJAR,Apa yang akan diterbitkan oleh universitas apabila mahasiswa yang dianggap tidak mampu mengikuti kegiatan akademik tidak mengajukan permohonan undur diri?,"Apabila mahasiswa tidak mengajukan permohonan undur diri, pihak universitas akan menerbitkan Keputusan Rektor UPN ""Veteran"" Jawa Timur tentang pemutusan hubungan studi.",
PENILAIAN DAN EVALUASI HASIL BELAJAR,Apa kewajiban utama yang harus dilaksanakan oleh setiap mahasiswa program sarjana terkait penyelesaian studi?,Setiap mahasiswa program sarjana wajib menyusun dan melaksanakan tugas akhir/skripsi.,
PENILAIAN DAN EVALUASI HASIL BELAJAR,Kondisi akademik apa saja yang wajib dipenuhi mahasiswa untuk dapat mengambil tugas akhir atau skripsi?,"Mahasiswa dapat mengambil tugas akhir/skripsi setelah menyelesaikan mata kuliah dengan jumlah sks sesuai yang dipersyaratkan Prodi pada kurikulum masing-masing, menyelesaikan mata kuliah prasyarat, mempunyai IPK minimal 2,00, lulus Mata Kuliah Metode Penelitian, serta lulus KKN dan PKL/KKP/Magang.",
PENILAIAN DAN EVALUASI HASIL BELAJAR,Persyaratan non-akademik dan administratif apa yang harus dipenuhi mahasiswa sebelum dapat mengambil tugas akhir atau skripsi?,"Mahasiswa harus mempunyai kemampuan Bahasa Inggris setara dengan TOEFL 450 atau International Certificate JETSET level 4- Pearson-LCCI-UK (setara dengan IBT-TOEFL 57-86) atau Institutional Certificate English Proficiency Test/EPT 450- LC-UPNVJT (setara dengan ITP-TOEFL 450), terdaftar sebagai mahasiswa aktif pada semester yang bersangkutan, mengisi KRS Skripsi, serta mengikuti library class dan memiliki sertifikat sebagai peserta library class.",
PENILAIAN DAN EVALUASI HASIL BELAJAR,"Apa saja kaidah dan etika yang wajib dipatuhi dalam penyusunan tugas akhir, skripsi, atau prototype?","Tugas akhir, skripsi, atau prototype wajib disusun berdasarkan kaidah dan etika keilmuan, bebas dari unsur plagiarisme, serta ditulis sesuai Pedoman Penulisan Skripsi yang ditetapkan oleh Fakultas.",
PENILAIAN DAN EVALUASI HASIL BELAJAR,"Bagaimana ketentuan mengenai cek plagiasi yang harus disertakan pada laporan tugas akhir, skripsi, atau prototype?","Laporan tugas akhir, skripsi, atau prototype wajib melampirkan cek plagiasi yang dikeluarkan secara resmi oleh Perpustakaan UPN ""Veteran"" Jawa Timur dengan persyaratan plagiasi kurang dari 20%.",
PENILAIAN DAN EVALUASI HASIL BELAJAR,Berapakah rentang beban studi dalam satuan SKS yang ditetapkan untuk tugas akhir atau skripsi?,Beban studi untuk tugas akhir atau skripsi adalah antara 6 (enam) sampai dengan 10 (sepuluh) SKS.,
PENILAIAN DAN EVALUASI HASIL BELAJAR,Berapa beban studi untuk tugas akhir atau skripsi?,Beban studi tugas akhir atau skripsi adalah 6 (enam) sampai dengan 10 (sepuluh) SKS.,
PENILAIAN DAN EVALUASI HASIL BELAJAR,Apa saja syarat agar ujian tugas akhir/skripsi/prototype dapat dilaksanakan?,"Ujian tugas akhir/skripsi/prototype dilaksanakan setelah mahasiswa telah menyelesaikan semua mata kuliah wajib dan pilihan sesuai kurikulum yang berlaku, serta mahasiswa telah menyajikan bagian dari tugas akhir/skripsi dalam forum ilmiah nasional/internasional yang dibuktikan dengan sertifikat pemakalah.",
PENILAIAN DAN EVALUASI HASIL BELAJAR,Bagaimana tahapan pelaksanaan ujian tugas akhir/skripsi/prototype?,"Ujian tugas akhir/skripsi/prototype dilaksanakan secara tertutup sesuai dengan peraturan yang berlaku di program studi dan terdiri atas 2 (dua) tahap, yaitu presentasi oleh mahasiswa dan tanya jawab dengan waktu paling sedikit 60 menit.",
PENILAIAN DAN EVALUASI HASIL BELAJAR,"Dalam keadaan khusus, siapa yang dapat diundang sebagai penguji?","Dalam keadaan khusus, penguji yang bukan dari kalangan akademik namun memiliki keahlian dalam bidang terkait dapat diundang.",
PENILAIAN DAN EVALUASI HASIL BELAJAR,"Siapa saja pihak yang memiliki hak bersama atas segala bentuk luaran tugas akhir, skripsi, atau prototype?","Hak bersama atas segala bentuk luaran berupa HKI, artikel jurnal ilmiah, dan sejenisnya yang terkait dengan materi tugas akhir, skripsi, atau prototype akan menjadi hak bersama antara mahasiswa, para pembimbing, dan universitas.",
PENILAIAN DAN EVALUASI HASIL BELAJAR,Bagaimana hak penggunaan data dan luaran tugas akhir/skripsi/prototype yang merupakan penelitian kerjasama dengan dana pihak lain diatur?,"Hak penggunaan data dan luarannya, termasuk HKI, publikasi, buku, atau lainnya, diatur dalam perjanjian kerjasama antara dosen pembimbing, mahasiswa, dan pihak lain, yang diketahui Program Studi dan disetujui oleh Fakultas/Dekan.",
PENILAIAN DAN EVALUASI HASIL BELAJAR,Apa syarat utama bagi mahasiswa agar dapat menyelesaikan skripsinya tanpa melalui ujian?,"Mahasiswa dapat menyelesaikan skripsinya tanpa ujian jika luaran Tugas akhir/skripsi/prototype berupa artikel ilmiah yang berhasil dipublikasi (accepted/published) sebagai penulis pertama dalam jurnal nasional terakreditasi Sinta (1-3) atau jurnal internasional yang terindeks atau jurnal bereputasi terindeks dengan Scimago Journal Rank (SJR) ≤ 0,1 dan/atau Journal Impact Factor (JIF) ≤ 0,05.",
PENILAIAN DAN EVALUASI HASIL BELAJAR,Berapakah nilai kelulusan skripsi yang akan didapatkan mahasiswa jika artikel ilmiahnya berhasil dipublikasi dalam jurnal nasional terakreditasi Sinta (1-3) atau jurnal internasional bereputasi?,"Mahasiswa akan dinyatakan lulus skripsi dengan nilai A jika artikel ilmiahnya berhasil dipublikasi sebagai penulis pertama dalam jurnal nasional terakreditasi Sinta (1-3) atau jurnal internasional bereputasi terindeks dengan Scimago Journal Rank (SJR) ≤ 0,1 dan/atau Journal Impact Factor (JIF) ≤ 0,05.",
PENILAIAN DAN EVALUASI HASIL BELAJAR,Bagaimana penilaian kelulusan skripsi jika artikel ilmiah mahasiswa berhasil dipublikasi dalam jurnal nasional terakreditasi Sinta (4-6) atau jurnal internasional tidak bereputasi?,"Jika artikel ilmiah mahasiswa berhasil dipublikasi dalam jurnal nasional terakreditasi Sinta (4-6) atau jurnal internasional tidak bereputasi, maka kelulusan skripsi akan diberikan dengan nilai (A-).",
PENILAIAN DAN EVALUASI HASIL BELAJAR,Dalam bentuk apakah luaran tugas akhir atau skripsi dapat dibuat selain bentuk standar?,Luaran tugas akhir atau skripsi dapat dibuat dalam bentuk lain seperti cipta karya yang telah diuji keilmiahannya pada tingkat nasional atau internasional.,
PENILAIAN DAN EVALUASI HASIL BELAJAR,Siapakah yang menetapkan ketentuan dan pengaturan lebih lanjut mengenai tugas akhir atau skripsi?,Ketentuan dan pengaturan lebih lanjut mengenai tugas akhir atau skripsi ditetapkan oleh Fakultas.,
PERKULIAHAN MAHASISWA TRANSFER KREDIT,"Kriteria apakah yang menetapkan seorang mahasiswa memperoleh status akademik sebagai mahasiswa transfer kredit di UPN ""Veteran"" Jawa Timur?","Mahasiswa yang mengikuti perkuliahan sepenuhnya di luar UPN ""Veteran"" Jawa Timur selama sekurang-kurangnya 1 (satu) semester akan memperoleh status akademik sebagai mahasiswa transfer kredit.",
PERKULIAHAN MAHASISWA TRANSFER KREDIT,"Kewajiban apa yang harus dipenuhi oleh mahasiswa peserta program Student Exchange, Joint Degree, atau Double Degree pada akhir program agar mata kuliah yang ditempuh dapat diakui?","Pada akhir program, mahasiswa tersebut wajib menyerahkan laporan hasil studi dengan nilai kelulusan yang diperoleh, agar mata kuliah yang telah ditempuh dan lulus dapat diakui.",
PERKULIAHAN MAHASISWA TRANSFER KREDIT,"Dalam kondisi bagaimana seorang mahasiswa yang mengikuti program Student Exchange, Joint Degree, atau Double Degree tidak diakui sebagai mahasiswa transfer kredit?","Mahasiswa yang mengikuti program Student Exchange, Joint Degree, atau Double Degree yang gagal, yaitu pulang sebelum program berakhir, tidak akan diakui sebagai mahasiswa transfer kredit.",
PERKULIAHAN MAHASISWA TRANSFER KREDIT,Apa saja bentuk bukti pengakuan penyelesaian program mata kuliah bagi mahasiswa transfer kredit?,"Bukti penyelesaian program Student Exchange adalah sertifikat yang ditandatangani oleh Rektor dan Dekan. Bukti penyelesaian program Joint Degree adalah ijazah yang ditandatangani oleh Rektor UPN ""Veteran"" Jawa Timur bersama Rektor perguruan tinggi mitra kerja sama. Bukti penyelesaian program Double Degree adalah ijazah yang ditandatangani oleh Dekan dan Rektor serta memperoleh ijazah dari perguruan tinggi mitra kerja sama.",
PERKULIAHAN MAHASISWA TRANSFER KREDIT,Bagaimana perhitungan masa studi untuk mahasiswa transfer kredit?,Masa studi mahasiswa transfer kredit diperhitungkan penuh sebagai masa studi mahasiswa aktif.,
PERKULIAHAN MAHASISWA TRANSFER KREDIT,"Siapakah mahasiswa yang diwajibkan untuk terdaftar sebagai mahasiswa transfer kredit di UPN ""Veteran"" Jawa Timur?","Mahasiswa dari universitas lain, baik dari dalam maupun luar negeri, yang mengikuti program Student Exchange, Joint Degree, Double Degree, atau program lain yang sejenis harus terdaftar sebagai mahasiswa transfer kredit UPN ""Veteran"" Jawa Timur.",
PERKULIAHAN MAHASISWA TRANSFER KREDIT,Bagaimana ketentuan mengenai pembayaran biaya pendidikan bagi mahasiswa transfer kredit dari universitas lain?,"Ketentuan mengenai pembayaran biaya pendidikan bagi mahasiswa transfer kredit dari universitas lain, baik dari dalam maupun luar negeri, diatur sesuai dengan kesepakatan yang tertuang dalam kontrak atau perjanjian kerja sama.",
PERKULIAHAN MAHASISWA TRANSFER KREDIT,Apakah mahasiswa transfer kredit diperbolehkan mengambil beberapa mata kuliah dari program studi yang berbeda secara bersamaan?,"Mahasiswa transfer kredit dari universitas lain, baik dari dalam maupun luar negeri, dapat mengambil beberapa mata kuliah di berbagai program studi dalam satu semester berjalan secara bersamaan.",
PERKULIAHAN MAHASISWA TRANSFER KREDIT,Bagaimana ketentuan pengambilan mata kuliah bagi mahasiswa transfer kredit dalam satu semester?,Mahasiswa transfer kredit dari universitas lain baik dari dalam maupun luar negeri dapat mengambil beberapa mata kuliah di berbagai program studi dalam satu semester berjalan secara bersamaan.,
PERKULIAHAN MAHASISWA TRANSFER KREDIT,Apa bukti yang diperlukan untuk pengakuan mata kuliah bagi mahasiswa transfer kredit yang telah menyelesaikan program Student Exchange?,Bukti telah menyelesaikan program Student Exchange adalah sertifikat yang ditandatangani oleh Rektor dan Dekan.,
PERKULIAHAN MAHASISWA TRANSFER KREDIT,Dokumen apa yang menjadi bukti pengakuan mata kuliah bagi mahasiswa transfer kredit yang menyelesaikan program Joint Degree?,"Bukti telah menyelesaikan program Joint Degree adalah ijazah yang ditandatangani oleh Rektor UPN ""Veteran"" Jawa Timur bersama dengan Rektor perguruan tinggi mitra kerjasama.",
KULIAH KERJA NYATA (KKN),Apakah kewajiban mahasiswa terkait pelaksanaan Kuliah Kerja Nyata?,Mahasiswa wajib mengikuti kegiatan Kuliah Kerja Nyata (KKN).,
KULIAH KERJA NYATA (KKN),Apa saja syarat bagi mahasiswa untuk dapat mengikuti kegiatan KKN?,"Syarat peserta KKN adalah mahasiswa yang telah dinyatakan lulus mata kuliah dan mengumpulkan SKS kumulatif paling sedikit 100 SKS dengan IPK 2,75 serta mempunyai Surat Keterangan Kompetensi Softskill dan Hardskill yang telah mencapai 100 poin.",
KULIAH KERJA NYATA (KKN),Berapa durasi minimal dan maksimal penyelenggaraan KKN serta siapa yang mengoordinasikannya?,Penyelenggaraan KKN minimal selama satu bulan dan maksimal 6 bulan yang dikoordinasikan oleh Lembaga Penelitian dan Pengabdian kepada Masyarakat (LPPM).,
KULIAH KERJA NYATA (KKN),Bagaimana jadwal pelaksanaan Kuliah Kerja Nyata (KKN) diatur?,"Jadwal pelaksanaan KKN diatur dalam kalender akademik yang ditetapkan dengan Keputusan Rektor UPN ""Veteran"" Jawa Timur.",
KULIAH KERJA NYATA (KKN),Siapa yang berwenang untuk menetapkan kegiatan tertentu yang diakui dan disetarakan dengan KKN?,"Rektor UPN ""Veteran"" Jawa Timur berwenang untuk menetapkan kegiatan tertentu yang diakui dan disetarakan dengan KKN.",
KULIAH KERJA NYATA (KKN),Di mana tata cara dan persyaratan pendaftaran Kuliah Kerja Nyata (KKN) diatur lebih lanjut?,Tata cara dan persyaratan pendaftaran KKN diatur lebih lanjut dalam Buku Pedoman Pelaksanaan KKN.,
"DOSEN, PEMBIMBING AKADEMIK, DAN PEMBIMBING TUGAS AKHIR",Apa saja tugas dosen terkait pelaksanaan penilaian hasil belajar dan pelaporan kegiatan perkuliahan?,"Dosen bertugas melaksanakan penilaian hasil belajar dan memasukkan nilai mata kuliah ke dalam Sistem Informasi Akademik (SIAMIK) sesuai dengan jadwal yang telah ditentukan dalam kalender akademik, serta melaporkan kegiatan perkuliahan di Pangkalan Data Pendidikan Tinggi (PDDIKTI) setiap akhir semester dengan mempublikasikan mata kuliah yang diampu pada semester tersebut.",
"DOSEN, PEMBIMBING AKADEMIK, DAN PEMBIMBING TUGAS AKHIR",Mengapa dosen perlu menyusun dan mengevaluasi bahan uji?,Dosen perlu menyusun dan mengevaluasi bahan uji agar didapatkan bahan uji yang valid sesuai dengan tujuan capaian pembelajaran.,
"DOSEN, PEMBIMBING AKADEMIK, DAN PEMBIMBING TUGAS AKHIR","Dalam fungsi manajemen, informasi apa yang harus disampaikan dosen kepada mahasiswa terkait tes atau ujian?","Dosen harus menginformasikan atau memberikan pembahasan penyelesaian permasalahan pada tes/ujian, serta menginformasikan nilai tes/ujian/tugas kepada mahasiswa.",
"DOSEN, PEMBIMBING AKADEMIK, DAN PEMBIMBING TUGAS AKHIR",Siapakah yang bertanggung jawab menetapkan dosen pembimbing akademik untuk setiap mahasiswa?,Dosen pembimbing akademik bagi setiap mahasiswa ditetapkan oleh Fakultas.,
"DOSEN, PEMBIMBING AKADEMIK, DAN PEMBIMBING TUGAS AKHIR",Apa kualifikasi yang harus dipenuhi oleh pembimbing akademik untuk mahasiswa program sarjana?,Pembimbing akademik untuk mahasiswa program sarjana adalah dosen tetap yang bergelar minimal magister.,
"DOSEN, PEMBIMBING AKADEMIK, DAN PEMBIMBING TUGAS AKHIR",Siapakah yang berhak menjadi pembimbing akademik bagi mahasiswa program sarjana?,Pembimbing akademik untuk mahasiswa program sarjana adalah dosen tetap yang bergelar minimal magister.,
"DOSEN, PEMBIMBING AKADEMIK, DAN PEMBIMBING TUGAS AKHIR",Apa saja tugas yang diemban oleh seorang pembimbing akademik?,"Pembimbing akademik memiliki tugas mengarahkan mahasiswa menyusun rencana studi dan memilih mata kuliah, menyetujui Kartu Rencana Studi (KRS) mahasiswa dalam SIDOS, memberikan pertimbangan jumlah SKS, mengikuti perkembangan studi mahasiswa, memastikan pelaporan hasil pembelajaran ke PDDIKTI, membantu mencari solusi masalah akademik, serta melaporkan kinerja kepada pimpinan unit.",
"DOSEN, PEMBIMBING AKADEMIK, DAN PEMBIMBING TUGAS AKHIR","Sebelum menyetujui Kartu Rencana Studi (KRS), langkah penting apa yang harus dipastikan oleh pembimbing akademik terkait mahasiswa yang dibimbingnya?",Pembimbing akademik harus memantau dan memastikan bahwa mahasiswa yang dibimbingnya telah melakukan pelaporan hasil pembelajaran ke PDDIKTI melalui SIAMIK sebelum menyetujui Kartu Rencana Studi (KRS).,
"DOSEN, PEMBIMBING AKADEMIK, DAN PEMBIMBING TUGAS AKHIR",Siapakah yang mengambil alih sementara tugas pembimbing akademik apabila yang bersangkutan berhalangan melaksanakan tugas?,"Apabila pembimbing akademik berhalangan melaksanakan tugas, Koordinator Program Studi mengambil alih sementara tugas pembimbing akademik dan melakukan persetujuan KRS sampai ditetapkan pembimbing akademik yang baru.",
"DOSEN, PEMBIMBING AKADEMIK, DAN PEMBIMBING TUGAS AKHIR",Apa saja persyaratan yang harus dipenuhi oleh seorang dosen untuk dapat menjadi pembimbing utama tugas akhir atau skripsi?,"Persyaratan pembimbing utama adalah dosen tetap dengan jabatan fungsional minimal asisten ahli dan bergelar magister, mempunyai bidang kepakaran yang relevan dengan tugas akhir, serta minimal 2 (dua) kali pernah sebagai pembimbing kedua.",
"DOSEN, PEMBIMBING AKADEMIK, DAN PEMBIMBING TUGAS AKHIR",Berapa jumlah maksimal dosen pembimbing tugas akhir atau skripsi untuk 1 (satu) orang mahasiswa?,"Jumlah pembimbing tugas akhir/skripsi untuk 1 (satu) orang mahasiswa paling banyak 2 (dua) orang dosen, yaitu pembimbing utama dan pendamping.",
